epoch	global_step	loss	t_loss	t_acc	strict_acc	f1	auc	s_acc	s_auc
0	25	1.107209825515747	1.1041010856628417	0.11162852581160192	0.0015965939329430547	0.4738893219017927	0.5565533663793502	0.6702302631578947	0.6252197451715162	
0	50	1.078947982788086	1.0121212283770242	0.1954497072911123	0.005854177754124534	0.4839010760002177	0.5807189967078719	0.7302631578947368	0.7353506742135535	
0	75	1.0327764296531676	1.049504784742991	0.3943587014369345	0.03352847259180415	0.5494389850186816	0.6704922153432653	0.7927631578947368	0.8398110949191584	
0	100	0.9733702784776688	0.8932646115620931	0.5618680149015434	0.08674827035657265	0.6367589368259904	0.7796039123025017	0.8511513157894737	0.8868341017211206	
1	125	0.5209236783640725	0.6517702082792918	0.7307078233102714	0.32623736029803085	0.7345200826349556	0.8666299435239897	0.8700657894736842	0.9112593883454468	
1	150	0.4998695394024253	0.5840003559986751	0.7589143161255987	0.39701969132517295	0.7541765331487497	0.8977322493635354	0.8939144736842105	0.9423119648605544	
1	175	0.4538328323447913	0.4463913917541504	0.8290313996806812	0.5002660989888238	0.7807177149398332	0.9195454073949935	0.9029605263157895	0.953908801532909	
1	200	0.4197774344101185	0.4296255419651667	0.8489888238424694	0.5130388504523683	0.8274677741060198	0.9315419937835802	0.9111842105263158	0.9537850777891625	
1	225	0.38770434887052696	0.4083335240681966	0.8532464076636509	0.533794571580628	0.8448840634293527	0.9400065273962589	0.912828947368421	0.9576625294423257	
2	250	0.2407760832990919	0.4360611796379089	0.8525811601915912	0.562533262373603	0.8539223613580671	0.9454456010621861	0.9161184210526315	0.9570958163201405	
2	275	0.2291845155832095	0.33974954634904864	0.8905002660989888	0.6423629590207557	0.8497594327298753	0.9474045661246033	0.9161184210526315	0.9533218705254344	
2	300	0.21336993959266692	0.40477272669474285	0.876663118680149	0.6008515167642363	0.8786943283590818	0.94855716676378	0.9103618421052632	0.9600765147222436	
2	325	0.20078533410691143	0.3326526552438736	0.8976849387972325	0.6609898882384246	0.8655078859727058	0.954475805910496	0.9235197368421053	0.965007903762492	
